X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1932437,5601922,4605,,548831,0,,0,2,,South,2017/2018,HAVELOCK ROAD,KARANEMA DRIVE,,Non-Injury Crash,No,2018,,North,,0,,Flat,,Easter,,,,Bright sun,1509600,0,0,0,2,,,0,,,,,,Hawke's Bay Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,30,Hastings District,Nil,,,,,0,0,Urban,0,,,Fine,Null
1890104,5775249,4606,,538742,0,,0,2,,Null,2010/2011,SH 30,ROBINSON AVENUE,,Non-Injury Crash,Yes,2011,,North,,0,,Flat,,,,,,Overcast,1256700,0,0,0,2,,,0,,,,,,Bay of Plenty Region,Nil,2-way,Sealed,,0,0,,70,,Null,0,0,,24,Rotorua District,Give way,,,,,0,0,Urban,0,,,Fine,Null
1757939,5919045,4607,,515902,0,0,0,1,0,South,2005/2006,GRANDSTAND ROAD NORTH,KIOSK ROAD,,Non-Injury Crash,No,2006,0,North,0,0,0,Flat,0,,0,,0,Overcast,451400,0,0,0,2,0,0,0,0,1,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,30,0,Null,1,0,,76,Auckland,Unknown,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null
1755328,5914847,4608,,518500,0,,0,2,,Null,2001/2002,DOMINION ROAD,DUKE ST,,Minor Crash,No,2001,,South,,0,,Flat,,,,,,Bright sun,560200,1,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Stop,,,,,0,0,Urban,0,,,Fine,Null
1752292,5435097,4609,,573901,0,,0,2,,Null,2008/2009,STEWART DRIVE,FITZPATRICK ST,,Minor Crash,No,2009,,East,,0,,Flat,,,,,,Overcast,2074202,3,0,0,2,,,0,,,,,,Wellington Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,47,Wellington City,Give way,,,,,0,0,Urban,0,,,Fine,Null
1801553,5821420,4610,,527009,0,0,0,2,0,Null,2007/2008,THOMAS ROAD,GORDONTON ROAD,,Non-Injury Crash,No,2007,0,North,0,0,0,Flat,0,,0,,0,Overcast,952322,0,0,0,2,0,0,0,0,0,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,80,0,Off,0,0,,16,Hamilton City,Give way,1,0,0,0,0,0,Open,0,0,0,Light rain,Null
1892947,5740109,4611,,538841,0,1,0,1,0,South,2006/2007,LONGVIEW ROAD,BIRCH ROAD,,Minor Crash,No,2006,0,South,0,0,1,Flat,0,,0,,0,Bright sun,1260800,1,0,0,1,0,0,0,0,0,,0,0,Waikato Region,Bridge,1-way,Sealed,0,0,0,0,100,0,None,0,0,,24,Rotorua District,Give way,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1826359,5797994,4612,,535241,0,,0,2,,North,2008/2009,SH 1N,FERGUSSON GULLY ROAD,,Minor Crash,Yes,2008,,North,,0,,Flat,,,,,,Bright sun,1123000,2,0,1,2,,,0,,,,,,Waikato Region,Nil,2-way,Sealed,,0,0,,100,,Off,0,0,,17,Waipa District,Nil,,,,,0,0,Open,0,,,Fine,Null
1759432,5914176,4613,,519300,0,,0,2,,South,2001/2002,CAMPBELL ROAD,RAWHITI ROAD,,Non-Injury Crash,No,2001,,South,,0,,Flat,,,,,,Bright sun,623400,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,None,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1878279,5822643,4614,,538101,0,,0,2,,South,2017/2018,CAMERON ROAD,THIRTEENTH AVENUE,,Non-Injury Crash,No,2017,,North,,0,,Flat,,,,,,Bright sun,1167602,0,0,0,2,,,0,,,,,,Bay of Plenty Region,Nil,1-way,Sealed,,0,0,,50,,Null,0,0,,23,Tauranga City,Unknown,,,,,0,0,Urban,0,,,Fine,Null
