X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1752033,5434295,1637,,573903,0,0,0,1,0,East,2003/2004,COTSWOLD CRESCENT,CHELTENHAM TERRACE,,Non-Injury Crash,No,2004,0,West,0,0,1,Hill Road,0,,0,,0,Dark,2075103,0,0,0,2,0,0,0,0,0,,0,0,Wellington Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,47,Wellington City,Nil,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null
1698056,6091202,1638,,501633,0,,0,0,,West,2015/2016,OROMAHOE ROAD,SH 11,,Non-Injury Crash,No,2016,,East,,0,,Hill Road,,,,,,Bright sun,51601,0,0,0,2,,,0,,,,,,Northland Region,Nil,2-way,Unsealed,,0,0,,100,,None,2,0,,1,Far North District,Unknown,,,,,0,0,Open,0,,,Fine,Null
1746572,5915634,1639,,511800,0,,0,1,,North,2001/2002,GREAT NORTH ROAD,VIEW ROAD,,Non-Injury Crash,No,2001,,North,,0,,Flat,,,,,,Bright sun,276300,0,0,0,4,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Give way,,,,,0,0,Urban,1,,,Fine,Null
1790729,5737591,1640,,531800,0,0,0,1,0,South,2007/2008,SH 4,MAPARA NORTH ROAD,,Non-Injury Crash,Yes,2007,0,South,0,0,0,Hill Road,0,,0,,0,Dark,1013701,0,0,0,2,0,1,0,0,0,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,100,0,None,0,0,,20,Waitomo District,Nil,0,1,0,0,0,0,Open,0,0,0,Light rain,Null
1692656,5676401,1641,,551800,0,,0,1,,Null,2007/2008,SH 44,EGMONT ST,,Minor Crash,Yes,2008,,West,,0,,Flat,,,,,,Bright sun,1591800,1,1,0,3,,,0,,,,,,Taranaki Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,33,New Plymouth District,Traffic Signals,,,,,0,0,Urban,0,,,Fine,Null
1404747,4914248,1642,,604210,0,0,0,0,0,North,2012/2013,DAVID ST,THORN ST,,Non-Injury Crash,No,2012,0,North,0,0,0,Flat,0,,0,,0,Bright sun,2913100,0,0,0,2,0,0,0,0,1,,0,0,Otago Region,Nil,2-way,Sealed,0,0,0,0,50,0,Null,1,0,,71,Dunedin City,Stop,0,0,0,0,1,0,Urban,0,0,0,Fine,Null
1830909,5540044,1643,,560422,0,0,0,1,0,South,2005/2006,COLYTON ROAD,WATERSHED ROAD,,Non-Injury Crash,No,2005,0,South,0,0,1,Hill Road,0,,0,,0,Overcast,1759500,0,0,0,2,0,0,0,1,0,,0,0,Manawatu-Wanganui Region,Nil,2-way,Sealed,0,0,0,0,100,0,Null,0,0,,39,Manawatu District,Stop,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1763660,5439458,1644,,568202,0,,0,1,,Null,2008/2009,TAITA DRIVE,HARCOURT WERRY DRIVE,,Non-Injury Crash,No,2009,,North,,0,,Flat,,,,,,Overcast,1939700,0,0,0,2,,,0,,,,,,Wellington Region,Nil,2-way,Sealed,,0,0,,50,,Null,1,0,,46,Lower Hutt City,Give way,,,,,0,0,Urban,0,,,Fine,Null
1761383,5947048,1645,,505910,0,0,0,1,0,East,2000/2001,SHAKESPEAR ROAD,GULF HARBOUR DRIVE,,Minor Crash,No,2001,0,East,0,0,0,Flat,0,,0,,0,Dark,175140,1,0,0,2,0,0,0,0,0,,0,1,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,76,Auckland,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1899182,5564196,1646,,549602,0,,0,0,,South,2007/2008,HATUMA ROAD,KYLE ROAD,,Serious Crash,No,2008,,North,,0,,Hill Road,,,,,,Overcast,1524000,0,0,1,2,,,0,,,,,,Hawke's Bay Region,Nil,2-way,Sealed,,0,2,,100,,Null,0,0,,32,Central Hawke's Bay District,Nil,,,,,0,0,Open,0,,,Light rain,Null
1673553.119,6123803.781,1647,,500402,0,,0,0,,East,2018/2019,WAINUI ROAD,TAURANGA BAY ROAD,,Serious Crash,No,2019,,West,,0,,Flat,,,,,,Overcast,19801,0,0,1,2,,,0,,,,,,Northland Region,Nil,2-way,Sealed,,0,1,,100,,None,0,0,,1,Far North District,Unknown,,,,,0,0,Open,0,,,Fine,Null
1753368,5970210,1648,,506631,0,0,0,1,1,North,2015/2016,MAHURANGI EAST ROAD,SONGBIRD CLOSE,,Minor Crash,No,2016,0,North,0,0,0,Flat,0,,0,,0,Overcast,139501,1,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,80,0,Null,0,0,,76,Auckland,Nil,0,0,0,0,0,0,Open,0,0,0,Light rain,Null
1623305,5431478,1649,,582500,0,,0,2,,South,2004/2005,HAVEN ROAD,SH 6,,Non-Injury Crash,No,2004,,South,,0,,Flat,,,,,,Bright sun,2318900,0,0,0,2,,,0,,,,,,Nelson Region,Nil,1-way,Sealed,,0,0,,50,,Null,0,0,,52,Nelson City,Nil,,,,,0,0,Urban,1,,,Fine,Null
1751392,5434697,1650,,573700,0,0,0,1,0,South,2010/2011,Z DWAY 5 BRODERICK,BRODERICK ROAD,,Non-Injury Crash,No,2010,0,North,0,0,0,Flat,0,,1,,0,Bright sun,2082900,0,0,0,1,0,0,0,0,0,,0,0,Wellington Region,Nil,Off road,Sealed,0,0,0,0,50,0,Null,0,0,,47,Wellington City,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1752215,5912428,1651,,514700,0,0,1,1,1,Null,2010/2011,DONOVAN ST,WHITNEY ST,,Minor Crash,No,2010,0,East,0,0,0,Flat,0,,0,,0,Overcast,369000,1,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,Off,0,0,,76,Auckland,Give way,0,0,0,1,0,0,Urban,0,0,0,Light rain,Null
1569045,5186541,1652,,588101,0,,0,1,,North,2017/2018,SH 74,PRESTONS ROAD,,Non-Injury Crash,Yes,2018,,South,,0,,Flat,,,,,,Bright sun,2509904,0,0,0,2,,,0,,,,,,Canterbury Region,Nil,1-way,Sealed,,0,0,,60,,Null,1,0,,60,Christchurch City,Traffic Signals,,,,,0,0,Urban,0,,,Fine,Null
1569445,5179135,1653,,594700,0,,0,2,,South,2002/2003,SELWYN ST,MOORHOUSE AVENUE,,Non-Injury Crash,No,2002,,North,,0,,Flat,,,,,,Bright sun,2658200,0,0,0,3,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,60,Christchurch City,Unknown,,,,,0,0,Urban,0,,,Fine,Null
1763678,5909760,1654,,521901,0,0,0,3,0,East,2017/2018,STATION ROAD,NIKAU ROAD,,Non-Injury Crash,No,2017,0,East,0,0,0,Flat,0,,0,,0,Dark,782800,0,0,0,2,0,0,0,0,2,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,76,Auckland,Unknown,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1889525.306,5774092.271,1655,,538742,0,,1,1,,North,2018/2019,WHARENUI ROAD,ELLIOTT CRESCENT,,Non-Injury Crash,No,2019,,East,,0,,Flat,,,,,,Bright sun,1257400,0,0,0,2,,,0,,,,,,Bay of Plenty Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,24,Rotorua District,Nil,,,,,0,0,Urban,0,,,Fine,Null
1826562,5783154,1656,,528000,0,0,0,1,0,West,2001/2002,ARAPUNI ROAD,AKATARERE ROAD,,Minor Crash,No,2001,0,East,0,0,1,Flat,0,,0,,0,Overcast,991000,2,0,0,2,0,0,0,0,0,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,100,0,None,0,0,,17,Waipa District,Nil,0,0,0,0,0,0,Open,0,0,0,Light rain,Null
1285828,4886099,1657,,610250,0,,0,1,,North,2001/2002,BROUGHTON ST,ANZAC ST,,Serious Crash,No,2002,,South,,0,,Flat,,,,,,Overcast,3058000,0,1,0,2,,,0,,,,,,Southland Region,Nil,2-way,Sealed,,0,1,,50,,Null,0,0,,74,Gore District,Nil,,,,,0,0,Urban,0,,,Fine,Null
1705395,5680782,1658,,551111,0,,0,3,,Null,2013/2014,SH 3,RALEIGH ST,,Minor Crash,Yes,2013,,East,,0,,Flat,,,,,,Dark,1565200,1,0,0,3,,,0,,,,,,Taranaki Region,Nil,2-way,Sealed,,0,0,,100,,On,1,0,,33,New Plymouth District,Stop,,,,,0,0,Open,0,,,Heavy rain,Null
1537949,5156729,1659,,597506,0,,0,1,,Null,2014/2015,SOUTHBRIDGE DUNSANDEL ROA,KINGS ROAD,,Non-Injury Crash,No,2015,,North,,0,,Null,,,,,,Bright sun,2722600,0,0,0,2,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,0,,100,,None,1,0,,62,Selwyn District,Stop,,,,,0,0,Open,0,,,Fine,Null
1798296,5818119,1660,,528403,0,,0,3,,South,2011/2012,TE RAPA ROAD,HOME STRAIGHT,,Non-Injury Crash,No,2011,,South,,0,,Flat,,,,,,Overcast,908000,0,0,0,4,,,0,,,,,,Waikato Region,Nil,2-way,Sealed,,0,0,,60,,Null,0,0,,16,Hamilton City,Unknown,,,,,0,0,Urban,0,,,Light rain,Null
1695163,5677188,1661,,552100,0,0,0,2,0,North,2009/2010,BEACH ST,DEVON ST EAST,,Non-Injury Crash,No,2010,0,South,0,0,0,Flat,0,,0,,0,Dark,1599500,0,0,0,2,0,0,0,0,1,,0,0,Taranaki Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,33,New Plymouth District,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1932951,5618426,1662,,547002,0,0,0,2,0,North,2014/2015,TARADALE ROAD,KENNEDY ROAD,,Non-Injury Crash,No,2015,0,North,0,0,0,Flat,0,,0,,0,Bright sun,1454600,0,0,0,2,0,0,0,0,1,,0,0,Hawke's Bay Region,Nil,2-way,Sealed,0,0,0,0,50,0,Null,0,0,,31,Napier City,Unknown,0,0,0,0,0,0,Urban,1,0,0,Fine,Null
1864285,5544282,1663,,550102,0,0,0,1,0,Null,2011/2012,WATERLOO ST,SWINBURN ST,,Non-Injury Crash,No,2012,0,South,0,0,0,Flat,0,,0,,1,Overcast,1533700,0,0,0,2,0,0,0,0,0,,0,0,Manawatu-Wanganui Region,Nil,2-way,Sealed,0,0,0,0,50,0,Null,0,0,,41,Tararua District,Stop,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null
1748403,5427944,1664,,573000,0,,0,3,,North,2002/2003,SH 1N,NORTH PORTAL SBD,,Non-Injury Crash,Yes,2003,,South,,0,,Flat,,,,,,Bright sun,2126700,0,0,0,2,,,0,,,,,,Wellington Region,Nil,1-way,Sealed,,0,0,,100,,Null,0,0,,47,Wellington City,Nil,,,,,0,0,Open,0,,,Fine,Null
1735987,5984360,1665,,506660,0,,0,1,,North,2016/2017,SH 1N,LOVERS LANE,,Non-Injury Crash,Yes,2017,,North,,0,,Hill Road,,,,,,Bright sun,143800,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,100,,Null,0,0,,76,Auckland,Unknown,,,,,0,0,Open,1,,,Fine,Null
1404352,4913885,1666,,604210,0,,0,2,,East,2001/2002,MURRAY ST,PLAYFAIR ST,,Non-Injury Crash,No,2001,,West,,0,,Hill Road,,,,,,Overcast,2912901,0,0,0,2,,,0,,,,,,Otago Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,71,Dunedin City,Unknown,,,,,0,0,Urban,0,,,Light rain,Null
1749963,5425932,1667,,576800,0,,0,2,,Null,2006/2007,SH 1N,EAST PORTAL,,Non-Injury Crash,Yes,2006,,West,,0,,Flat,,,,,,Overcast,2181700,0,0,0,2,,,0,,,,,,Wellington Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,47,Wellington City,Nil,,,,,0,0,Urban,0,,,Light rain,Null
1824983,5796074,1668,,535241,0,0,0,1,0,South,2017/2018,MAUNGATAUTARI ROAD,LUCK AT LAST ROAD,,Minor Crash,No,2018,0,North,0,0,0,Flat,0,,0,,0,Dark,1123400,1,0,0,2,0,0,0,0,0,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,100,0,None,0,0,,17,Waipa District,Unknown,0,0,0,0,0,0,Open,0,0,0,Mist or Fog,Null
1787644,5446094,1669,,579803,0,,0,1,,East,2008/2009,SH 2,RIMUTAKA SUM,,Non-Injury Crash,Yes,2009,,East,,0,,Hill Road,,,,,,Bright sun,2272601,0,0,0,2,,,0,,,,,,Wellington Region,Nil,2-way,Sealed,,0,0,,100,,Null,0,0,,50,South Wairarapa District,Nil,,,,,0,0,Open,1,,,Fine,Null
1756575,5921369,1670,,514101,0,0,0,2,0,Null,2006/2007,BRIGHAM ST,DALDY ST,,Non-Injury Crash,No,2007,0,South,0,0,1,Flat,0,,0,,0,Dark,432400,0,0,0,4,0,0,0,0,1,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,76,Auckland,Give way,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1793837,5499288,1671,,564232,0,,0,2,,Null,2015/2016,LIVERPOOL ST,BARTHOLOMEW ROAD,,Non-Injury Crash,No,2016,,South,,0,,Flat,,,,,,Bright sun,1872800,0,0,0,2,,,0,,,,,,Manawatu-Wanganui Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,42,Horowhenua District,Give way,,,,,0,0,Urban,0,,,Fine,Null
1762825.013,5913427.508,1672,,520402,0,,0,1,,South,2019/2020,COMMISSARIAT RD,BAILEY ROAD,,Serious Crash,No,2019,,North,,0,,Flat,,,,,,Overcast,642000,0,0,0,2,,,0,,,1,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,Off,0,0,,76,Auckland,Unknown,,,,,0,0,Urban,0,,,Fine,Null
1748735,5431228,1673,,574402,0,0,0,1,0,East,2006/2007,NGAIO GORGE ROAD,PERTH ST,,Non-Injury Crash,No,2007,0,East,0,0,0,Hill Road,1,,0,,0,Dark,2098400,0,0,0,2,0,0,0,0,0,,0,0,Wellington Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,47,Wellington City,Nil,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null
1570280,5181281,1674,,592401,0,0,0,1,0,West,2012/2013,BEALEY AVENUE,SPRINGFIELD ROAD,,Minor Crash,No,2012,0,East,0,0,0,Flat,0,,0,,0,Dark,2686500,1,0,0,6,0,0,0,0,0,,0,0,Canterbury Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,60,Christchurch City,Unknown,0,0,0,1,0,0,Urban,0,0,0,Fine,Null
1755001,5915445,1675,,517703,0,,0,2,,Null,2012/2013,LAMBETH ROAD,KIWITEA ST,,Minor Crash,No,2012,,West,,0,,Flat,,,,,,Dark,538801,1,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,On,0,0,,76,Auckland,Stop,,,,,0,0,Urban,0,,,Light rain,Null
1751565,5912296,1676,,514700,0,,0,2,,South,2012/2013,BLOCKHOUSE BAY ROAD,DONOVAN ST,,Non-Injury Crash,No,2012,,South,,0,,Flat,,,,,,Dark,368900,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,On,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1564536,5178327,1677,,587702,0,,0,2,,East,2016/2017,LODESTAR AVENUE,STARK DRIVE,,Non-Injury Crash,No,2017,,West,,0,,Flat,,,,,,Overcast,2481000,0,0,0,2,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,60,Christchurch City,Nil,,,,,0,0,Urban,0,,,Heavy rain,Null
1757021,5920423,1678,,514102,1,0,0,1,0,North,2016/2017,HOBSON ST,WELLESLEY ST WEST,,Non-Injury Crash,No,2016,0,South,0,0,0,Flat,0,,0,,0,Overcast,433801,0,0,0,4,0,0,0,0,1,,0,0,Auckland Region,Nil,1-way,Sealed,0,0,0,0,50,0,Null,0,0,,76,Auckland,Unknown,0,0,0,0,0,0,Urban,0,0,0,Null,Null
1789385,5754089,1679,,532000,0,0,0,1,0,North,2004/2005,SH 3,TONGA ST,,Non-Injury Crash,Yes,2004,0,South,0,0,1,Hill Road,0,,0,,0,Overcast,1009500,0,0,0,2,0,0,0,0,0,,0,1,Waikato Region,Nil,2-way,Sealed,0,0,0,0,50,0,Off,0,0,,20,Waitomo District,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1843143.214,5789941.01,1680,,535250,0,0,0,3,2,North,2018/2019,01N-0607,WEBSTER RD,,Minor Crash,Yes,2019,0,South,0,0,0,Flat,0,,0,,0,Dark,1127502,2,0,0,2,0,0,0,0,0,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,100,0,None,0,0,,19,South Waikato District,Unknown,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1862582,5750787,1681,,535262,0,0,0,0,0,North,2015/2016,SH 1N,KIWI ROAD,,Minor Crash,Yes,2015,0,North,0,0,1,Flat,0,,0,,0,Bright sun,1152900,2,0,0,2,0,0,0,0,0,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,100,0,Null,1,0,,19,South Waikato District,Unknown,0,0,0,1,0,0,Open,0,0,0,Fine,Null
1818031,5802806,1682,,527505,0,,0,2,,Null,2002/2003,SHAKESPEARE ST,ADDISON ST,,Minor Crash,No,2002,,South,,0,,Hill Road,,,,,,Bright sun,965501,1,0,0,2,,,0,,,,,,Waikato Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,17,Waipa District,Give way,,,,,0,0,Urban,0,,,Fine,Null
1581713,5284682,1683,65,585506,0,,0,1,,West,1999/2000,SH 7,SH 7A,,Non-Injury Crash,Yes,2000,,East,,0,,Hill Road,,Christmas New Year,,,,Dark,2428001,0,0,0,2,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,0,,100,,None,0,0,,58,Hurunui District,Unknown,,,,,0,0,Open,0,,,Heavy rain,Null
1767824,5903562,1684,,524602,0,,0,2,,North,2009/2010,GREAT SOUTH ROAD,KERRS ROAD,,Non-Injury Crash,No,2009,,North,,0,,Flat,,Labour Weekend,,,,Bright sun,780410,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1824441,5462890,1685,,578800,0,,0,2,,Null,2005/2006,CHURCH ST,KEATON ST,,Non-Injury Crash,No,2005,,North,,0,,Flat,,,,,,Bright sun,2240500,0,0,0,2,,,0,,,,,,Wellington Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,48,Masterton District,Give way,,,,,0,0,Urban,0,,,Fine,Null
